x;TYPE;LIBELLE;IMP;NB;URL
x;BASKET_SPORTIF;Antoine Diot;284;2;https://www.lequipe.fr/Basket/BasketFicheJoueur28631.html
x;BASKET_SPORTIF;Ian Mahinmi;280;1;https://www.lequipe.fr/Basket/BasketFicheJoueur2370.html
x;BASKET_SPORTIF;Thomas Heurtel;276;3;https://www.lequipe.fr/Basket/BasketFicheJoueur44391.html
x;FOOTBALL_SPORTIF;Oscar;273;5;https://www.lequipe.fr/Football/FootballFicheJoueur39895.html
x;BASKET_SPORTIF;Carmelo Anthony;273;6;https://www.lequipe.fr/Basket/BasketFicheJoueur33063.html
x;CYCLISME_SPORTIF;Elia Viviani;271;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur7000000000003460.html
x;BASKET_SPORTIF;Guerschon Yabusele;271;1;https://www.lequipe.fr/Basket/BasketFicheJoueur9265.html
x;NATATION_SPORTIF;Maxime Grousset;269;1;https://www.lequipe.fr/Natation/NatationFicheAthlete2712.html
x;HANDBALL_SPORTIF;Luc Abalo;263;1;https://www.lequipe.fr/Handball/UniverselFicheJoueur7000000000024822.html
x;FOOTBALL_SPORTIF;Abdelaziz Barrada;259;3;https://www.lequipe.fr/Football/FootballFicheJoueur32741.html
x;BASKET_SPORTIF;Sandrine Gruda;258;8;https://www.lequipe.fr/Basket/BasketFicheJoueur41356.html
x;BASKET_SPORTIF;Damian Lillard;258;4;https://www.lequipe.fr/Basket/BasketFicheJoueur2962.html
x;CANOE-KAYAK_SPORTIF;Tony Estanguet;252;137;https://www.lequipe.fr/Sport/AussiFicheAthlete4722.html
x;FOOTBALL_SPORTIF;Adel Taarabt;241;1;https://www.lequipe.fr/Football/FootballFicheJoueur25671.html
x;CYCLISME_SPORTIF;Greg Van Avermaet;237;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur3500000000003240.html
x;BASKET_SPORTIF;Mickael Gelabale;236;1;https://www.lequipe.fr/Basket/BasketFicheJoueur11617.html
x;RUGBY_SPORTIF;Sonny Bill Williams;229;1;https://www.lequipe.fr/Rugby/RugbyFicheJoueur11500000000005200.html
x;GYMNASTIQUE_SPORTIF;Samir Ait-Said;226;3;https://www.lequipe.fr/Sport/AussiFicheAthlete11490.html
x;BASKET_SPORTIF;Marc Gasol;218;2;https://www.lequipe.fr/Basket/BasketFicheJoueur2874.html
x;BASKET_SPORTIF;Ali Traoré;215;2;https://www.lequipe.fr/Basket/BasketFicheJoueur39895.html
x;FOOTBALL_SPORTIF;Marie-Laure Delie;211;5;https://www.lequipe.fr/Football/FootballFicheJoueur41355.html
x;JUDO_SPORTIF;Emilie Andeol;210;1;https://www.lequipe.fr/Judo/AussiFicheAthlete41274.html
x;BASKET_SPORTIF;Florent Piétrus;209;4;https://www.lequipe.fr/Basket/BasketFicheJoueur6410.html
x;BASKET_SPORTIF;Ronny Turiaf;201;3;https://www.lequipe.fr/Basket/BasketFicheJoueur11000000000032900.html
x;TENNIS_SPORTIF;Pablo Andujar;200;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur100.html
x;BASKET_SPORTIF;Emanuel Ginobili;195;3;https://www.lequipe.fr/Basket/BasketFicheJoueur32741.html
x;BASKET_SPORTIF;Chris Paul;195;2;https://www.lequipe.fr/Basket/BasketFicheJoueur8500000000003300.html
x;ESCRIME_SPORTIF;Laura Flessel Colovic;188;8;https://www.lequipe.fr/Sport/AussiFicheAthlete2963.html
x;BOXE_SPORTIF;Edward H. Sanders;186;2;https://www.lequipe.fr/Sport/AussiFicheAthlete46659.html
x;FOOTBALL_SPORTIF;Papiss Demba Cissé;184;3;https://www.lequipe.fr/Football/FootballFicheJoueur22966.html
x;CYCLISME_SPORTIF;Alexis Vuillermoz;177;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur35677.html
x;BASKET_SPORTIF;Paul George;176;1;https://www.lequipe.fr/Basket/BasketFicheJoueur2456.html
x;FOOTBALL_SPORTIF;Elise Bussaglia;173;6;https://www.lequipe.fr/Football/FootballFicheJoueur41352.html
x;BASKET_SPORTIF;DeMarcus Cousins;170;1;https://www.lequipe.fr/Basket/BasketFicheJoueur35677.html
x;PENTATHLON_SPORTIF;Elodie Clouvel;169;1;https://www.lequipe.fr/Sport/AussiFicheAthlete45687.html
x;FOOTBALL_SPORTIF;Adrien Regattin;167;1;https://www.lequipe.fr/Football/FootballFicheJoueur32571.html
x;BASKET_SPORTIF;Andrew Albicy;167;2;https://www.lequipe.fr/Basket/BasketFicheJoueur41355.html
x;NATATION_SPORTIF;Roxana Maracineanu;165;4;https://www.lequipe.fr/Natation/NatationFicheAthlete8.html
x;FOOTBALL_SPORTIF;Paul Scholes;165;1;https://www.lequipe.fr/Football/FootballFicheJoueur3899.html
x;CYCLISME_SPORTIF;Dan Martin;164;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur7000000000003440.html
x;CYCLISME_SPORTIF;Annemiek Van Vleuten;162;2;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur6692.html
x;BASKET_SPORTIF;Blake Griffin;160;2;https://www.lequipe.fr/Basket/BasketFicheJoueur1000000000002900.html
x;BASKET_SPORTIF;Isabelle Yacoubou;153;4;https://www.lequipe.fr/Basket/BasketFicheJoueur7000000000003440.html
x;BASKET_SPORTIF;Draymond Green;153;2;https://www.lequipe.fr/Basket/BasketFicheJoueur6692.html
x;VOILE_SPORTIF;Charline PICON;151;15;https://www.lequipe.fr/Voile/AussiFicheAthlete1000000000009140.html
x;CYCLISME_SPORTIF;Benjamin Thomas;143;3;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur41352.html
x;FOOTBALL_SPORTIF;Laura Georges;141;5;https://www.lequipe.fr/Football/FootballFicheJoueur41261.html
x;BASKET_SPORTIF;Marine Johannès;140;3;https://www.lequipe.fr/Basket/BasketFicheJoueur5184.html
x;CYCLISME_SPORTIF;Audrey Cordon-Ragot;140;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur32571.html
x;FOOTBALL_SPORTIF;Louisa Necib-Cadamuro;139;6;https://www.lequipe.fr/Football/FootballFicheJoueur41270.html
x;FOOTBALL_SPORTIF;André Poko;138;1;https://www.lequipe.fr/Football/FootballFicheJoueur43378.html
x;ATHLETISME_SPORTIF;Dimitri Bascou;137;1;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete41352.html
x;FOOTBALL_SPORTIF;Giovani Dos Santos;135;4;https://www.lequipe.fr/Football/FootballFicheJoueur26059.html
x;FOOTBALL_SPORTIF;Sylvain Ripoll;135;1;https://www.lequipe.fr/Football/FootballFicheJoueur2905.html
x;CYCLISME_SPORTIF;Thor Hushovd;126;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4184.html
x;RUGBY_SPORTIF;Stéphane Delpuech;122;1;https://www.lequipe.fr/Rugby/RugbyFicheJoueur354.html
x;CYCLISME_SPORTIF;Rémi Cavagna;117;7;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur6014.html
x;BASKET_SPORTIF;LaMarcus Aldridge;117;3;https://www.lequipe.fr/Basket/BasketFicheJoueur4184.html
x;CYCLISME_SPORTIF;Jeannie Longo-Ciprelli;113;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur11864.html
x;BASKET_SPORTIF;Devin Booker;111;2;https://www.lequipe.fr/Basket/BasketFicheJoueur6014.html
x;HANDBALL_SPORTIF;Cléopatre Darleux;109;1;https://www.lequipe.fr/Handball/UniverselFicheJoueur30041.html
x;FOOTBALL_SPORTIF;Moussa Konaté;106;12;https://www.lequipe.fr/Football/FootballFicheJoueur43093.html
x;CYCLISME_SPORTIF;Samuel Sanchez;106;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur41270.html
x;FOOTBALL_SPORTIF;Chu-young Park;103;4;https://www.lequipe.fr/Football/FootballFicheJoueur23845.html
x;CYCLISME_SPORTIF;Simon Gerrans;103;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur10969.html
x;FOOTBALL_SPORTIF;Iker Muniain;103;3;https://www.lequipe.fr/Football/FootballFicheJoueur33917.html
x;FOOTBALL_SPORTIF;Hope Solo;102;5;https://www.lequipe.fr/Football/FootballFicheJoueur41669.html
x;ATHLETISME_SPORTIF;Michel Jazy;100;1;https://www.lequipe.fr/Athletisme/AthletismeFicheAthlete10189.html
x;CYCLISME_SPORTIF;Roman Kreuziger;100;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur354.html
x;FOOTBALL_SPORTIF;Sonia Bompastor;99;11;https://www.lequipe.fr/Football/FootballFicheJoueur41264.html
x;FOOTBALL_SPORTIF;Elodie Thomis;99;4;https://www.lequipe.fr/Football/FootballFicheJoueur41278.html
x;AVIRON_SPORTIF;Matthieu Androdias;94;1;https://www.lequipe.fr/Sport/AussiFicheAthlete2962.html
x;BASKET_SPORTIF;Yannick Bokolo;88;2;https://www.lequipe.fr/Basket/BasketFicheJoueur11628.html
x;BASKET_SPORTIF;Endy Miyem;86;1;https://www.lequipe.fr/Basket/BasketFicheJoueur9000000000003340.html
x;BASKET_SPORTIF;Milos Teodosic;82;2;https://www.lequipe.fr/Basket/BasketFicheJoueur8665.html
x;FOOTBALL_SPORTIF;Abby Wambach;81;5;https://www.lequipe.fr/Football/FootballFicheJoueur41689.html
x;VOILE_SPORTIF;Camille LECOINTRE;78;6;https://www.lequipe.fr/Voile/AussiFicheAthlete44480.html
x;CYCLISME_SPORTIF;Matthew Goss;75;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur4500000000009420.html
x;BASKET_SPORTIF;Ricky Rubio;74;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4453.html
x;BASKET_SPORTIF;Vince Carter;73;1;https://www.lequipe.fr/Basket/BasketFicheJoueur23845.html
x;FOOTBALL_SPORTIF;Sandro;72;1;https://www.lequipe.fr/Football/FootballFicheJoueur34673.html
x;RUGBY_SPORTIF;Michael Hooper;68;2;https://www.lequipe.fr/Rugby/RugbyFicheJoueur6542.html
x;BASKET_SPORTIF;Rudy Fernandez;68;1;https://www.lequipe.fr/Basket/BasketFicheJoueur41669.html
x;FOOTBALL_SPORTIF;Yassine Jebbour;67;1;https://www.lequipe.fr/Football/FootballFicheJoueur33371.html
x;FOOTBALL_SPORTIF;Bob Wilson;67;1;https://www.lequipe.fr/Football/FootballFicheJoueur15711.html
x;FOOTBALL_SPORTIF;Clément Michelin;67;1;https://www.lequipe.fr/Football/FootballFicheJoueur61574.html
x;BASKET_SPORTIF;Bradley Beal;66;2;https://www.lequipe.fr/Basket/BasketFicheJoueur41278.html
x;BASKET_SPORTIF;Edwige Lawson;66;1;https://www.lequipe.fr/Basket/BasketFicheJoueur37203.html
x;FOOTBALL_SPORTIF;Micah Richards;66;1;https://www.lequipe.fr/Football/FootballFicheJoueur22894.html
x;FOOTBALL_SPORTIF;Leandro Damiao;66;10;https://www.lequipe.fr/Football/FootballFicheJoueur39890.html
x;FOOTBALL_SPORTIF;Sandrine Soubeyrand;65;6;https://www.lequipe.fr/Football/FootballFicheJoueur41354.html
x;FOOTBALL_SPORTIF;Houssine Kharja;64;2;https://www.lequipe.fr/Football/FootballFicheJoueur20146.html
x;JUDO_SPORTIF;David Douillet;64;4;https://www.lequipe.fr/Judo/AussiFicheAthlete4500000000009420.html
x;TENNIS_SPORTIF;Saisai Zheng;63;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur20146.html
x;FOOTBALL_SPORTIF;Craig Bellamy;62;8;https://www.lequipe.fr/Football/FootballFicheJoueur7643.html
x;CYCLISME_SPORTIF;Nicolas Roche;61;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur6500000000003390.html
x;BASKET_SPORTIF;Isaiah Thomas;59;1;https://www.lequipe.fr/Basket/BasketFicheJoueur34673.html
x;BASKET_SPORTIF;Yakhouba Diawara;57;1;https://www.lequipe.fr/Basket/BasketFicheJoueur6542.html
x;CYCLISME_SPORTIF;David Millar;57;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur61574.html
x;FOOTBALL_SPORTIF;Scott Sinclair;54;3;https://www.lequipe.fr/Football/FootballFicheJoueur26261.html
x;FOOTBALL_SPORTIF;Manuel Lanzini;53;2;https://www.lequipe.fr/Football/FootballFicheJoueur47802.html
x;BASKET_SPORTIF;Zach Lavine;52;2;https://www.lequipe.fr/Basket/BasketFicheJoueur61574.html
x;BASKET_SPORTIF;Valériane Vukosavljevic;51;1;https://www.lequipe.fr/Basket/BasketFicheJoueur5875.html
x;BASKET_SPORTIF;Emmeline Ndongue;51;2;https://www.lequipe.fr/Basket/BasketFicheJoueur1222.html
x;FOOTBALL_SPORTIF;Oribe Peralta;49;1;https://www.lequipe.fr/Football/FootballFicheJoueur41599.html
x;CYCLISME_SUR_PISTE_SPORTIF;Severino Angella;48;1;https://www.lequipe.fr/Sport/AussiFicheAthlete22966.html
x;FOOTBALL_SPORTIF;Nicolas Lodeiro;48;2;https://www.lequipe.fr/Football/FootballFicheJoueur35352.html
x;FOOTBALL_SPORTIF;Gaston Ramirez;47;4;https://www.lequipe.fr/Football/FootballFicheJoueur38199.html
x;TENNIS_SPORTIF;Viktorija Golubic;45;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur35352.html
x;BASKET_SPORTIF;Andrei Kirilenko;44;1;https://www.lequipe.fr/Basket/BasketFicheJoueur4358.html
x;CANOE-KAYAK_SPORTIF;Boris Neveu;43;2;https://www.lequipe.fr/Sport/AussiFicheAthlete37798.html
x;NATATION_SPORTIF;Pieter Van Den Hoogenband;43;1;https://www.lequipe.fr/Natation/NatationFicheAthlete9000000000003340.html
