ID;TYPE;LIBELLE;IMP;NB;URL
27678;FOOTBALL_SPORTIF;César Azpilicueta;427;3;https://www.lequipe.fr/Football/FootballFicheJoueur27678.html
2827;BASKET_SPORTIF;Andrew Albicy;167;2;https://www.lequipe.fr/Basket/BasketFicheJoueur2827.html
2850;BASKET_SPORTIF;Antoine Diot;284;2;https://www.lequipe.fr/Basket/BasketFicheJoueur2850.html
28631;FOOTBALL_SPORTIF;Demba Ba;393;2;https://www.lequipe.fr/Football/FootballFicheJoueur28631.html
2874;BASKET_SPORTIF;Thomas Heurtel;276;3;https://www.lequipe.fr/Basket/BasketFicheJoueur2874.html
28768;FOOTBALL_SPORTIF;Mohamed Aboutrika;25;3;https://www.lequipe.fr/Football/FootballFicheJoueur28768.html
2883;BASKET_SPORTIF;Ali Traoré;215;2;https://www.lequipe.fr/Basket/BasketFicheJoueur2883.html
2897;BASKET_SPORTIF;Yannick Bokolo;88;2;https://www.lequipe.fr/Basket/BasketFicheJoueur2897.html
2905;FOOTBALL_SPORTIF;Sylvain Ripoll;135;1;https://www.lequipe.fr/Football/FootballFicheJoueur2905.html
2927;BASKET_SPORTIF;Nicolas Batum;1588;22;https://www.lequipe.fr/Basket/BasketFicheJoueur2927.html
29427;FOOTBALL_SPORTIF;Pierre-Emerick Aubameyang;2483;4;https://www.lequipe.fr/Football/FootballFicheJoueur29427.html
29558;FOOTBALL_SPORTIF;Yassine El-Kharroubi;15;1;https://www.lequipe.fr/Football/FootballFicheJoueur29558.html
2962;BASKET_SPORTIF;Rodrigue Beaubois;293;1;https://www.lequipe.fr/Basket/BasketFicheJoueur2962.html
2963;BASKET_SPORTIF;Nando De Colo;873;4;https://www.lequipe.fr/Basket/BasketFicheJoueur2963.html
29652;FOOTBALL_SPORTIF;Thiago Silva;3698;2;https://www.lequipe.fr/Football/FootballFicheJoueur29652.html
30041;HANDBALL_SPORTIF;Cléopatre Darleux;109;1;https://www.lequipe.fr/Handball/UniverselFicheJoueur30041.html
30181;FOOTBALL_SPORTIF;Hulk;456;1;https://www.lequipe.fr/Football/FootballFicheJoueur30181.html
3117;CYCLISME_SPORTIF;Thor Hushovd;126;1;https://www.lequipe.fr/Cyclisme-sur-route/CyclismeFicheCoureur3117.html
31252;JUDO_SPORTIF;Emilie Andeol;210;1;https://www.lequipe.fr/Judo/AussiFicheAthlete31252.html
31362;ESCRIME_SPORTIF;Brice Guyart;28;3;https://www.lequipe.fr/Sport/AussiFicheAthlete31362.html
3146;TENNIS_SPORTIF;Edouard Roger-Vasselin;611;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur3146.html
3153;TENNIS_SPORTIF;Novak Djokovic;13662;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur3153.html
3181;TENNIS_SPORTIF;Jo-Wilfried Tsonga;5309;1;https://www.lequipe.fr/Tennis/TennisFicheJoueur3181.html
3191;TENNIS_SPORTIF;Gilles Simon;3469;4;https://www.lequipe.fr/Tennis/TennisFicheJoueur3191.html
3233;TENNIS_SPORTIF;Andy Murray;5049;3;https://www.lequipe.fr/Tennis/TennisFicheJoueur3233.html
32571;FOOTBALL_SPORTIF;Adrien Regattin;167;1;https://www.lequipe.fr/Football/FootballFicheJoueur32571.html
32741;FOOTBALL_SPORTIF;Abdelaziz Barrada;259;3;https://www.lequipe.fr/Football/FootballFicheJoueur32741.html
33061;FOOTBALL_SPORTIF;Younes Belhanda;727;3;https://www.lequipe.fr/Football/FootballFicheJoueur33061.html
33063;FOOTBALL_SPORTIF;Téji Savanier;367;2;https://www.lequipe.fr/Football/FootballFicheJoueur33063.html
33077;FOOTBALL_SPORTIF;Thiago Alcantara;634;2;https://www.lequipe.fr/Football/FootballFicheJoueur33077.html
